#,model,year,region,reasoning,provider,api_model_id,temperature_effective,n_collected,parse_success_rate,mean_latency_ms,total_tokens,first_ts,last_ts,status
1,GPT-3.5-Turbo,2022,Western,No,openai,gpt-3.5-turbo,1.0,10,100.0,2071,1643,2026-07-14T15:38:01.704Z,2026-07-14T15:46:34.116Z,live
2,Llama-2-70b,2023,Western,No,,,,0,0,,0,,,RETIRED - no live host on our keys (existing 750 stand)
3,GPT-4.0-Turbo,2023,Western,No,openai,gpt-4-turbo-2024-04-09,1.0,10,100.0,2221,1660,2026-07-14T15:38:04.081Z,2026-07-14T15:46:55.736Z,live
4,Claude-3-Haiku,2024,Western,No,,,,0,0,,0,,,RETIRED on Anthropic list (existing 750 stand)
5,Claude-3-Opus,2024,Western,No,,,,0,0,,0,,,RETIRED on Anthropic list (existing 750 stand)
6,Claude-3.5-Sonnet,2024,Western,No,,,,0,0,,0,,,RETIRED on Anthropic list (existing 750 stand)
7,GPT-4o,2024,Western,No,openai,gpt-4o-2024-08-06,1.0,10,100.0,1386,1641,2026-07-14T15:38:07.651Z,2026-07-14T15:47:11.375Z,live
8,Ernie-4.0-8k,2024,Eastern,No,,,,0,0,,0,,,no Baidu key (existing 750 stand)
9,DeepSeek-R1,2025,Eastern,Yes,qwen,deepseek-r1,1.0,10,100.0,18689,6508,2026-07-14T15:38:09.700Z,2026-07-14T15:49:40.126Z,live via DashScope
10,Claude-Opus-4.1,2025,Western,No,anthropic,claude-opus-4-1-20250805,0.5,10,100.0,2820,1862,2026-07-14T15:38:32.436Z,2026-07-14T15:50:22.982Z,live
11,Claude-Sonnet-4,2025,Western,No,,,,0,0,,0,,,RETIRED (only sonnet-4-5/4-6 live); existing 515 stand
12,Deepseek-Chat,2025,Eastern,No,qwen,deepseek-v3,1.0,10,100.0,2842,1640,2026-07-14T15:38:35.761Z,2026-07-14T15:50:53.332Z,live via DashScope (v3=chat lineage)
13,Kimi-k2,2025,Eastern,No,qwen,kimi-k2.5,,0,0,,0,,,CLOSEST live (k2 retired); existing 515 stand
14,Llama4-Scout,2025,Western,No,,,,0,0,,0,,,no live Llama host (existing 515 stand)
15,Llama4-Maverick,2025,Western,No,,,,0,0,,0,,,no live Llama host (existing 514 stand)
16,Qwen-Max,2025,Eastern,No,qwen,qwen-max,1.0,10,100.0,2794,1672,2026-07-14T15:38:37.981Z,2026-07-14T15:51:21.901Z,live
17,Qwen-Turbo,2025,Eastern,No,qwen,qwen-turbo,1.0,10,100.0,2192,1710,2026-07-14T15:38:40.540Z,2026-07-14T15:51:44.443Z,live
18,Grok-Code-Fast,2025,Western,No,,,,0,0,,0,,,RETIRED on xAI (existing 478 stand)
19,GPT-5,2025,Western,Yes,openai,gpt-5-2025-08-07,1.0,10,100.0,16415,13447,2026-07-14T15:38:42.844Z,2026-07-14T15:54:08.489Z,live (reasoning: may ignore temp)
