#,model,year,region,reasoning,existing_samples,provider,api_model_id,status
1,GPT-3.5-Turbo,2022,Western,No,750,openai,gpt-3.5-turbo,live
2,Llama-2-70b,2023,Western,No,750,,,RETIRED - no live host on our keys (existing 750 stand)
3,GPT-4.0-Turbo,2023,Western,No,750,openai,gpt-4-turbo-2024-04-09,live
4,Claude-3-Haiku,2024,Western,No,750,,,RETIRED on Anthropic list (existing 750 stand)
5,Claude-3-Opus,2024,Western,No,750,,,RETIRED on Anthropic list (existing 750 stand)
6,Claude-3.5-Sonnet,2024,Western,No,750,,,RETIRED on Anthropic list (existing 750 stand)
7,GPT-4o,2024,Western,No,750,openai,gpt-4o-2024-08-06,live
8,Ernie-4.0-8k,2024,Eastern,No,750,,,no Baidu key (existing 750 stand)
9,DeepSeek-R1,2025,Eastern,Yes,750,qwen,deepseek-r1,live via DashScope
10,Claude-Opus-4.1,2025,Western,No,515,anthropic,claude-opus-4-1-20250805,live
11,Claude-Sonnet-4,2025,Western,No,515,,,RETIRED (only sonnet-4-5/4-6 live); existing 515 stand
12,Deepseek-Chat,2025,Eastern,No,515,qwen,deepseek-v3,live via DashScope (v3=chat lineage)
13,Kimi-k2,2025,Eastern,No,515,qwen,kimi-k2.5,CLOSEST live (k2 retired); existing 515 stand
14,Llama4-Scout,2025,Western,No,515,,,no live Llama host (existing 515 stand)
15,Llama4-Maverick,2025,Western,No,514,,,no live Llama host (existing 514 stand)
16,Qwen-Max,2025,Eastern,No,515,qwen,qwen-max,live
17,Qwen-Turbo,2025,Eastern,No,515,qwen,qwen-turbo,live
18,Grok-Code-Fast,2025,Western,No,478,,,RETIRED on xAI (existing 478 stand)
19,GPT-5,2025,Western,Yes,550,openai,gpt-5-2025-08-07,live (reasoning: may ignore temp)
20,GPT-5-Mini,2025,Western,Yes,500,openai,gpt-5-mini-2025-08-07,live (reasoning: may ignore temp)
21,o3,2025,Western,Yes,0,openai,o3-2025-04-16,live (reasoning: ignores temperature)
22,Claude Opus 4.7,2025,Western,Yes,0,anthropic,claude-opus-4-7,live
23,Grok 4,2025,Western,Yes,0,xai,grok-4.3,live (accepted sub for grok-4)
24,DeepSeek R2,2025,Eastern,Yes,0,qwen,deepseek-v3.2,live via DashScope (accepted sub for R2)
25,Qwen3.7 Max,2025,Eastern,Yes,0,qwen,qwen3.7-max,live
26,GPT-5.4,2025,Western,No,0,openai,gpt-5.4-2026-03-05,live
27,GLM-5,2025,Eastern,No,0,qwen,glm-5,live via DashScope (also TokenHub)
28,Claude Sonnet 4,2025,Western,No,0,anthropic,claude-sonnet-4-5-20250929,live (accepted sub for sonnet-4.0)
29,GPT-5.6 Sol,2026,Western,Yes,0,openai,gpt-5.6-sol,live
30,GPT-5.5,2026,Western,Yes,0,openai,gpt-5.5-2026-04-23,live
31,Claude Fable 5,2026,Western,Yes,0,anthropic,claude-fable-5,live
32,Claude Sonnet 5,2026,Western,No,0,anthropic,claude-sonnet-5,live
33,Claude Opus 4.8,2026,Western,Yes,0,anthropic,claude-opus-4-8,live
34,Grok 4.5,2026,Western,Yes,0,xai,grok-4.5,live
35,DeepSeek V4 Pro,2026,Eastern,Yes,0,deepseek,deepseek-v4-pro,live
36,Qwen4 Max,2026,Eastern,Yes,0,qwen,qwen3-max-2026-01-23,live (accepted sub; real 2026 Qwen)
37,Kimi K2.6,2026,Eastern,Yes,0,qwen,kimi-k2.6,live via DashScope (temp 0.5 OK here?) - verify
38,Hunyuan Hy3,2026,Eastern,No,0,hunyuan,hy3,live via TokenHub
