#,model,provider,region,intelligence,reasoning,api_model_id,api_id_type,release_date,date_precision,api_verified,date_source,n_analysis,dat_score,uniqueness_human_agnostic,uniqueness_own_population,between_unit_posaware,identity_flag,derived_fields
1,GPT-3.5-Turbo,openai,Western,all-rounder,No,gpt-3.5-turbo,alias,2023-02-28,exact,yes,openai /v1/models created,770,76.7296,78.5900,60.4676,75.6854,,
2,Llama-2-70b,meta,Western,all-rounder,No,,none,2023-07-18,exact,no,published announcement / dataset,750,77.8887,79.4511,63.4081,76.1149,,
3,Ernie-4.0-8k,baidu,Eastern,all-rounder,No,ernie-4.0-8k,alias,2023-10-17,exact,no,published announcement / dataset,750,76.1206,78.2836,62.4978,76.6519,,
4,Moonshot-v1-128k,moonshot,Eastern,efficient,No,moonshot-v1-128k,alias,2024-02-01,exact,no,published announcement / dataset,500,74.4547,78.5418,60.1587,75.4101,,
5,Moonshot-v1-8k,moonshot,Eastern,efficient,No,moonshot-v1-8k,alias,2024-02-01,exact,no,published announcement / dataset,500,74.4436,78.5813,60.2836,75.4249,,
6,Claude-3-Opus,anthropic,Western,all-rounder,No,,none,2024-03-04,exact,no,published announcement / dataset,750,76.7981,79.1909,67.5735,76.8740,,
7,Claude-3-Haiku,anthropic,Western,efficient,No,,none,2024-03-13,exact,no,published announcement / dataset,750,79.0591,81.2054,62.4982,77.5932,,
8,GPT-4.0-Turbo,openai,Western,all-rounder,No,gpt-4-turbo-2024-04-09,pinned,2024-04-08,exact,yes,openai /v1/models created for gpt-4-turbo-2024-04-09 (id recovered from machine_all.csv provenance),770,81.7663,81.1350,69.0546,79.0263,,
9,DeepSeek-Chat,deepseek,Eastern,all-rounder,No,,none,2024-05-06,exact,no,published announcement / dataset,515,75.8868,80.6333,61.2349,76.2630,,region|reasoning
10,Claude-3.5-Sonnet,anthropic,Western,all-rounder,No,claude-3.5-sonnet,alias,2024-06-20,exact,no,published announcement / dataset,750,80.0098,79.7937,61.0556,77.1198,,
11,GPT-4o,openai,Western,all-rounder,No,gpt-4o-2024-08-06,pinned,2024-08-04,exact,yes,openai /v1/models created,770,76.1985,78.4450,59.8706,75.0331,,
12,DeepSeek-R1,deepseek,Eastern,reasoning,Yes,deepseek-r1,alias,2025-01-20,exact,no,published announcement / dataset,766,76.4915,78.7646,62.1420,76.1312,,
13,Qwen-Turbo,qwen,Eastern,efficient,No,qwen-turbo,alias,2025-02-01,alias_unresolved,no,bare alias qwen-turbo; only dated snapshot is 2024-11-01,535,71.3147,77.0239,60.5251,74.0367,,
14,Llama4-Maverick,meta,Western,all-rounder,No,,none,2025-04-05,exact,no,published announcement / dataset,514,84.8386,83.4144,67.4932,80.3712,,
15,Llama4-Scout,meta,Western,efficient,No,,none,2025-04-05,exact,no,published announcement / dataset,515,81.8145,80.7057,63.7846,77.6612,,
16,o4-mini,openai,Western,reasoning,Yes,o4-mini-2025-04-16,pinned,2025-04-08,exact,yes,openai /v1/models created,500,76.1374,78.1300,59.4487,75.2290,,
17,GPT-4.1,openai,Western,all-rounder,No,gpt-4.1-2025-04-14,pinned,2025-04-10,exact,yes,openai /v1/models created,500,77.2014,78.7996,59.5803,75.4518,,
18,GPT-4.1-mini,openai,Western,efficient,No,gpt-4.1-mini-2025-04-14,pinned,2025-04-10,exact,yes,openai /v1/models created,500,76.7683,79.3390,56.5255,75.1530,,
19,GPT-4.1-nano,openai,Western,efficient,No,gpt-4.1-nano-2025-04-14,pinned,2025-04-10,exact,yes,openai /v1/models created,496,78.6453,79.5405,63.0604,77.3063,,
20,Claude-Sonnet-4,anthropic,Western,hybrid,Yes,,none,2025-05-22,exact,no,published announcement / dataset,515,77.8997,79.2915,60.9285,76.2794,,region|reasoning
21,Kimi-K2,moonshot,Eastern,all-rounder,No,,none,2025-07-11,exact,no,"Kimi K2 announced release 2025-07-11; inherited legacy rows carry no recorded api id (the previous 'moonshot-v1-32k' was a planning-sheet artifact, not observed)",515,80.9142,81.7868,68.0383,79.0549,,
22,Qwen3-235B-Instruct,qwen,Eastern,all-rounder,No,qwen3-235b-a22b-instruct-2507,pinned,2025-07-21,exact,no,published announcement / dataset,530,75.1348,78.2617,59.7223,75.3322,,
23,GPT-5,openai,Western,hybrid,Yes,gpt-5-2025-08-07,pinned,2025-08-01,exact,yes,openai /v1/models created,1054,78.8372,79.8455,62.1959,77.4825,,
24,Claude-Opus-4.1,anthropic,Western,hybrid,Yes,claude-opus-4-1-20250805,pinned,2025-08-05,exact,yes,anthropic /v1/models created_at,535,84.7598,83.1823,63.8962,79.9195,,
25,GPT-5-mini,openai,Western,efficient,No,gpt-5-mini-2025-08-07,pinned,2025-08-05,exact,yes,openai /v1/models created,1020,75.7397,77.9107,59.3690,75.3174,,
26,Grok-Code-Fast,xai,Western,reasoning,Yes,grok-code-fast,alias,2025-08-28,exact,no,published announcement / dataset,478,74.4599,77.6919,60.0432,74.9373,,
27,Qwen-Max,qwen,Eastern,hybrid,No,qwen-max,alias,2025-09-13,alias_unresolved,no,bare alias qwen-max; DashScope exposes no dated snapshot,535,75.1459,78.3976,60.4389,74.3034,,
28,Claude-Sonnet-4.5,anthropic,Western,hybrid,No,claude-sonnet-4-5-20250929,pinned,2025-09-29,exact,yes,anthropic /v1/models created_at,520,80.9225,81.5024,61.6282,78.2638,,
29,Claude-Haiku-4.5,anthropic,Western,efficient,No,claude-haiku-4-5-20251001,pinned,2025-10-15,exact,yes,anthropic /v1/models created_at,500,80.9580,80.9566,65.4965,79.1049,,
30,GPT-5.1,openai,Western,hybrid,Yes,gpt-5.1-2025-11-13,pinned,2025-11-10,exact,yes,openai /v1/models created,500,80.8367,80.8636,62.5902,78.1129,,
31,Claude-Opus-4.5,anthropic,Western,hybrid,Yes,claude-opus-4-5-20251101,pinned,2025-11-24,exact,yes,anthropic /v1/models created_at,500,79.6869,80.5009,60.7586,78.0890,,
32,DeepSeek-V3.2,deepseek,Eastern,hybrid,Yes,deepseek-v3.2,alias,2025-12-01,exact,no,published announcement / dataset,547,79.4027,81.8837,72.4127,79.2219,,
33,Qwen-Plus,qwen,Eastern,hybrid,No,qwen-plus,alias,2025-12-01,alias_unresolved,no,latest pinned snapshot qwen-plus-2025-12-01 at collection,500,77.8874,79.8698,59.0960,76.2128,,
34,GPT-5.2,openai,Western,hybrid,Yes,gpt-5.2-2025-12-11,pinned,2025-12-09,exact,yes,openai /v1/models created,500,79.5105,79.7574,64.5608,77.2364,,
35,Qwen3-Max,qwen,Eastern,hybrid,Yes,qwen3-max-2026-01-23,pinned,2026-01-23,exact,no,api id actually called: qwen3-max-2026-01-23 (pinned snapshot; renamed from 'Qwen4-Max' 2026-07-29 to match what answered),532,76.4485,78.9603,58.7449,75.7165,,
36,Kimi-K2.5,moonshot,Eastern,all-rounder,No,kimi-k2.5,alias,2026-01-27,exact,no,zdnet.com/article/moonshot-kimi-k2-5-model + Baidu Baike (2026-01-27),519,79.4300,80.5992,68.8290,78.6861,,
37,MiniMax-M2.5,minimax,Eastern,reasoning,Yes,minimax-m2.5,alias,2026-02-12,exact,no,minimax.io/blog/minimax-m25 (announcement 2026-02-12),500,75.5865,78.7048,63.0393,75.7759,,
38,Qwen3.5-Plus,qwen,Eastern,hybrid,No,qwen3.5-plus,alias,2026-02-15,exact,no,earliest pinned DashScope snapshot qwen3.5-plus-2026-02-15,500,72.8309,77.0203,65.4013,75.5748,,
39,Claude-Sonnet-4.6,anthropic,Western,hybrid,No,claude-sonnet-4-6,alias,2026-02-17,exact,yes,anthropic /v1/models created_at,500,79.9676,81.5757,64.8487,79.8188,,
40,GPT-5.4,openai,Western,hybrid,No,gpt-5.4-2026-03-05,pinned,2026-03-04,exact,yes,openai /v1/models created,500,76.7915,78.9326,63.9402,76.6744,,
41,Grok-4.20-nonreason,xai,Western,all-rounder,No,grok-4.20-0309-non-reasoning,pinned,2026-03-09,exact,yes,xai /v1/models created,500,73.9793,79.3084,58.4355,75.9195,,
42,Grok-4.20-reason,xai,Western,reasoning,Yes,grok-4.20-0309-reasoning,pinned,2026-03-09,exact,yes,xai /v1/models created,500,75.9158,78.5295,62.3443,76.3468,,
